[2025-04-16 06:31:38,599: INFO: main: Logging is implemented]
[2025-04-19 11:34:07,901: INFO: main: Logging is implemented]
[2025-04-19 11:36:14,221: INFO: main: Logging is implemented]
[2025-04-19 11:36:29,066: INFO: main: Logging is implemented]
[2025-04-19 11:43:56,108: INFO: main: Logging is implemented]
[2025-04-19 11:45:18,717: INFO: main: Logging is implemented]
[2025-04-19 11:46:27,085: INFO: main: stage Data Ingestion stage initiated]
[2025-04-19 11:46:27,085: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-19 11:46:27,085: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-19 11:46:27,085: INFO: common: created directory at: artifacts]
[2025-04-19 11:46:27,085: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-19 11:47:27,031: INFO: data_ingestion: File is downloaded]
[2025-04-19 11:47:27,140: INFO: main: Stage Data Ingestion stage Completed]
[2025-04-20 11:54:28,297: INFO: config: PyTorch version 2.6.0 available.]
[2025-04-20 11:54:28,629: INFO: main: stage Data Ingestion stage initiated]
[2025-04-20 11:54:28,629: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-20 11:54:28,638: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-20 11:54:28,638: INFO: common: created directory at: artifacts]
[2025-04-20 11:54:28,638: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-20 11:54:28,638: INFO: data_ingestion: File already exits]
[2025-04-20 11:54:28,738: INFO: main: Stage Data Ingestion stage Completed]
[2025-04-20 11:54:28,738: INFO: main: stage Data Transformation stage initiated]
[2025-04-20 11:54:28,745: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-20 11:54:28,746: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-20 11:54:28,747: INFO: common: created directory at: artifacts]
[2025-04-20 11:54:28,747: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-20 11:54:35,521: INFO: main: Stage Data Transformation stage Completed]
